service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10522:10-7-127,1,1,1,1,1,1,1,20260417,20260515
10522:11-7-32,0,0,0,0,0,1,0,20260418,20260627
10522:12-7-127,1,1,1,1,1,1,1,20260427,20260622
10522:13-7-2,0,1,0,0,0,0,0,20260428,20260623
10522:14-7-4,0,0,1,0,0,0,0,20260429,20260624
10522:15-7-127,1,1,1,1,1,1,1,20260430,20260625
10522:16-7-16,0,0,0,0,1,0,0,20260522,20260626
10522:1-7-4,0,0,1,0,0,0,0,20260408,20260408
10522:2-7-8,0,0,0,1,0,0,0,20260409,20260409
10522:3-7-16,0,0,0,0,1,0,0,20260410,20260410
10522:4-7-32,0,0,0,0,0,1,0,20260411,20260411
10522:5-7-127,1,1,1,1,1,1,1,20260412,20260628
10522:6-7-127,1,1,1,1,1,1,1,20260413,20260629
10522:7-7-127,1,1,1,1,1,1,1,20260414,20260630
10522:8-7-4,0,0,1,0,0,0,0,20260415,20260422
10522:9-7-8,0,0,0,1,0,0,0,20260416,20260423
