route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,10522:1-7-4,STAN-S1-0_33602172,"Essey Mouzimpré",,0,101,10522$STAN-62$1,,
1,10522:1-7-4,STAN-S1-0_33602181,"Essey Mouzimpré",,0,105,10522$STAN-62$1,,
1,10522:1-7-4,STAN-S1-0_33602310,"Essey Mouzimpré",,0,109,10522$STAN-62$1,,
1,10522:7-7-127,STAN-S1-4_23603127,"Essey Mouzimpré",,0,101,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586777,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586778,"Haie Cerlin",,0,313,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586779,"Haie Cerlin",,0,306,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586780,"Haie Cerlin",,0,303,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586781,"Haie Cerlin",,0,315,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586782,"Haie Cerlin",,0,307,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586783,"Haie Cerlin",,0,309,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586784,"Haie Cerlin",,0,311,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586785,"Haie Cerlin",,0,302,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586786,"Haie Cerlin",,0,312,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603128,"Essey Mouzimpré",,0,110,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586787,"Haie Cerlin",,0,305,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586788,"Haie Cerlin",,0,314,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586789,"Haie Cerlin",,0,304,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586790,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586791,"Haie Cerlin",,0,310,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586792,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586793,"Haie Cerlin",,0,313,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586794,"Haie Cerlin",,0,306,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586795,"Haie Cerlin",,0,303,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586796,"Haie Cerlin",,0,315,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603129,"Essey Mouzimpré",,0,108,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586797,"Haie Cerlin",,0,307,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586798,"Haie Cerlin",,0,309,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586799,"Haie Cerlin",,0,311,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586800,"Haie Cerlin",,0,302,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586801,"Haie Cerlin",,0,312,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586802,"Haie Cerlin",,0,305,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586803,"Haie Cerlin",,0,314,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586804,"Haie Cerlin",,0,304,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586805,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586806,"Haie Cerlin",,0,310,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603132,"Essey Mouzimpré",,0,107,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586807,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586808,"Haie Cerlin",,0,313,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586809,"Haie Cerlin",,0,306,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586810,"Haie Cerlin",,0,303,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586811,"Haie Cerlin",,0,315,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586812,"Haie Cerlin",,0,307,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586813,"Haie Cerlin",,0,309,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586814,"Haie Cerlin",,0,311,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586815,"Haie Cerlin",,0,302,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586816,"Haie Cerlin",,0,312,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603137,"Essey Mouzimpré",,0,109,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586817,"Haie Cerlin",,0,305,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586818,"Haie Cerlin",,0,314,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586819,"Haie Cerlin",,0,304,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586820,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586821,"Haie Cerlin",,0,310,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586822,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586823,"Haie Cerlin",,0,313,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586824,"Haie Cerlin",,0,306,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586825,"Haie Cerlin",,0,316,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586826,"Haie Cerlin",,0,303,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603138,"Essey Mouzimpré",,0,110,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586827,"Haie Cerlin",,0,315,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586828,"Haie Cerlin",,0,307,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586829,"Haie Cerlin",,0,309,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586830,"Haie Cerlin",,0,311,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586855,"Haie Cerlin",,0,302,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586856,"Haie Cerlin",,0,312,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586857,"Haie Cerlin",,0,314,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586858,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586859,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586860,"Haie Cerlin",,0,313,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603139,"Essey Mouzimpré",,0,102,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586861,"Haie Cerlin",,0,316,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586869,"Haie Cerlin",,0,315,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586870,"Haie Cerlin",,0,311,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586871,"Haie Cerlin",,0,312,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586872,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586873,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586874,"Haie Cerlin",,0,316,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586875,"Haie Cerlin",,0,315,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586876,"Haie Cerlin",,0,311,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586877,"Haie Cerlin",,0,312,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603140,"Essey Mouzimpré",,0,111,10522$STAN-62$1,,
3,10522:14-7-4,STAN-S1-6_33586878,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586879,"Haie Cerlin",,0,316,10522$STAN-66$20,,
3,10522:14-7-4,STAN-S1-6_33586891,"Haie Cerlin",,0,304,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586705,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586707,"Haie Cerlin",,0,303,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586758,"Haie Cerlin",,0,302,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586759,"Haie Cerlin",,0,305,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586760,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586761,"Haie Cerlin",,0,310,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586762,"Haie Cerlin",,0,301,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603141,"Essey Mouzimpré",,0,103,10522$STAN-62$1,,
3,10522:15-7-127,STAN-S1-6_43586763,"Haie Cerlin",,0,313,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586764,"Haie Cerlin",,0,306,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586765,"Haie Cerlin",,0,303,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586766,"Haie Cerlin",,0,315,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586767,"Haie Cerlin",,0,307,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586768,"Haie Cerlin",,0,309,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586769,"Haie Cerlin",,0,311,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586770,"Haie Cerlin",,0,302,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586771,"Haie Cerlin",,0,312,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586772,"Haie Cerlin",,0,305,10522$STAN-66$20,,
1,10522:7-7-127,STAN-S1-4_23603142,"Essey Mouzimpré",,0,112,10522$STAN-62$1,,
3,10522:15-7-127,STAN-S1-6_43586773,"Haie Cerlin",,0,314,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586774,"Haie Cerlin",,0,304,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586775,"Haie Cerlin",,0,308,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586776,"Haie Cerlin",,0,310,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586777,"Haie Cerlin",,0,301,10522$STAN-66$20,,
3,10522:15-7-127,STAN-S1-6_43586778,"Haie Cerlin",,0,313,10522$STAN-66$20,,
